date,home_team_name,away_team_name,home_score,away_score
2014-07-09,Netherlands,Argentina,0,0
2014-07-08,Brazil,Germany,1,7
2014-07-05,Netherlands,Costa Rica,0,0
2014-07-05,Argentina,Belgium,1,0
2014-07-04,Brazil,Colombia,2,1
2014-07-04,France,Germany,0,1
2014-07-01,Belgium,United States,2,1
2014-07-01,Argentina,Switzerland,1,0
2014-06-30,Germany,Algeria,2,1
2014-06-30,France,Nigeria,2,0
2014-06-29,Costa Rica,Greece,1,1
2014-06-29,Netherlands,Mexico,2,1
2014-06-28,Colombia,Uruguay,2,0
2014-06-28,Brazil,Chile,1,1
2014-06-26,United States,Germany,0,1
2014-06-26,Portugal,Ghana,2,1
2014-06-26,Algeria,Russia,1,1
2014-06-26,South Korea,Belgium,0,1
2014-06-25,Ecuador,France,0,0
2014-06-25,Honduras,Switzerland,0,3
2014-06-25,Nigeria,Argentina,2,3
2014-06-25,Bosnia and Herzegovina,Iran,3,1
2014-06-24,Greece,Ivory Coast,2,1
2014-06-24,Japan,Colombia,1,4
2014-06-24,Italy,Uruguay,0,1
2014-06-24,Costa Rica,England,0,0
2014-06-23,Croatia,Mexico,1,3
2014-06-23,Cameroon,Brazil,1,4
2014-06-23,Netherlands,Chile,2,0
2014-06-23,Australia,Spain,0,3
2014-06-22,South Korea,Algeria,2,4
2014-06-22,Belgium,Russia,1,0
2014-06-22,United States,Portugal,2,2
2014-06-21,Argentina,Iran,1,0
2014-06-21,Germany,Ghana,2,2
2014-06-21,Nigeria,Bosnia and Herzegovina,1,0
2014-06-20,Honduras,Ecuador,1,2
2014-06-20,Switzerland,France,2,5
2014-06-20,Italy,Costa Rica,0,1
2014-06-19,Japan,Greece,0,0
2014-06-19,Uruguay,England,2,1
2014-06-19,Colombia,Ivory Coast,2,1
2014-06-18,Spain,Chile,0,2
2014-06-18,Cameroon,Croatia,0,4
2014-06-18,Australia,Netherlands,2,3
2014-06-17,Russia,South Korea,1,1
2014-06-17,Brazil,Mexico,0,0
2014-06-17,Belgium,Algeria,2,1
2014-06-16,Germany,Portugal,4,0
2014-06-16,Ghana,United States,1,2
2014-06-16,Iran,Nigeria,0,0
2014-06-15,France,Honduras,3,0
2014-06-15,Switzerland,Ecuador,2,1
2014-06-15,Argentina,Bosnia and Herzegovina,2,1
2014-06-14,Ivory Coast,Japan,2,1
2014-06-14,England,Italy,1,2
2014-06-14,Uruguay,Costa Rica,1,3
2014-06-14,Colombia,Greece,3,0
2014-06-13,Chile,Australia,3,1
2014-06-13,Spain,Netherlands,1,5
2014-06-13,Mexico,Cameroon,1,0
2014-06-12,Brazil,Croatia,3,1
2011-07-17,Japan,United States,2,2
2011-07-16,Sweden,France,2,1
2011-07-13,Japan,Sweden,3,1
2011-07-13,France,United States,1,3
2011-07-10,Brazil,United States,2,2
2011-07-10,Sweden,Australia,3,1
2011-07-09,Germany,Japan,0,1
2011-07-09,England,France,1,1
2011-07-06,North Korea,Colombia,0,0
2011-07-06,Australia,Norway,2,1
2011-07-06,Sweden,United States,2,1
2011-07-06,Equatorial Guinea,Brazil,0,3
2011-07-05,Canada,Nigeria,0,1
2011-07-05,England,Japan,2,0
2011-07-05,New Zealand,Mexico,2,2
2011-07-05,France,Germany,2,4
2011-07-03,Brazil,Norway,3,0
